,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
181,Itaituba,20,BR,1560547437,56,-4.26,-55.99,93.2,2.24
182,Humaita,90,AR,1560547439,82,-24.93,-65.37,64.4,4.7
183,Topchikha,40,RU,1560547440,76,52.82,83.12,57.2,8.95
184,Bamako,20,ML,1560547441,74,12.65,-8.0,80.6,4.7
185,Narsaq,0,GL,1560547183,31,60.91,-46.05,64.4,6.93
186,Samarai,98,PG,1560547443,91,-10.62,150.67,73.22,5.86
187,Acajutla,16,SV,1560547363,70,13.59,-89.83,86.0,1.99
188,Beidao,100,CN,1560547446,98,34.57,105.89,57.74,3.44
189,Sorrento,75,AU,1560547447,100,-31.82,115.75,57.0,1.12
190,Maniitsoq,100,GL,1560547197,93,65.42,-52.9,39.56,3.29
191,La Ronge,90,CA,1560547449,87,55.1,-105.3,57.2,10.29
192,Evanston,1,US,1560546919,41,42.04,-87.69,80.6,11.41
193,Dolores,0,AR,1560547452,82,-36.31,-57.68,53.78,5.21
194,Isangel,90,VU,1560547453,64,-19.55,169.27,69.8,11.74
195,Tuatapere,80,NZ,1560547199,98,-46.13,167.69,42.01,8.01
196,Kudahuvadhoo,54,MV,1560547267,74,2.67,72.89,83.3,4.99
197,Mineros,75,BO,1560547393,74,-17.12,-63.23,82.4,13.87
198,Castro,40,CL,1560546924,81,-42.48,-73.76,46.4,5.82
199,Maine-Soroa,11,NE,1560546934,32,13.21,12.02,93.92,12.59
200,Pankrushikha,100,RU,1560547460,94,53.83,80.35,48.02,3.71
201,Poum,20,MK,1560547461,77,41.28,20.71,66.2,2.24
202,Buxar,0,IN,1560547462,31,25.57,83.97,94.82,7.45
203,Saint-Michel-des-Saints,100,CA,1560547463,95,46.68,-73.92,50.9,7.58
204,Tongchuan,0,CN,1560547465,64,34.9,108.95,75.2,4.47
205,Kalengwa,11,ZM,1560547466,57,-13.47,25.0,57.56,7.23
206,Arraial do Cabo,0,BR,1560547467,83,-22.97,-42.02,77.0,10.29
